X,Y
385,394
338,423
367,417
356,428
367,425
320,410
249,415
237,412
305,404
364,404
453,404
332,402
210,383
71,397
584,412
587,415
519,415
305,394
101,383
213,399
379,391
302,412
510,410
299,368
163,381
270,407
403,399
361,423
