X,Y
219,290
524,378
187,248
539,365
293,279
524,370
296,206
530,376
308,222
439,399
483,253
447,274
157,277
151,245
219,263
296,287
296,389
287,376
293,373
296,381
293,373
287,373
293,368
293,376
284,373
290,376
287,381
287,376
290,376
287,370
296,370
287,381
284,376
290,373
284,373
296,378
290,376
287,370
293,376
290,378
293,378
290,378
276,373
302,370
284,373
290,370
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
