X,Y
270,282
270,290
527,381
530,381
237,266
524,370
344,295
536,370
317,196
548,373
450,397
498,250
441,274
187,271
190,250
276,266
296,290
341,269
323,386
311,376
314,370
320,376
320,373
317,373
314,368
317,373
314,376
311,376
314,378
308,373
308,376
305,370
308,373
311,383
320,378
311,373
311,376
323,376
314,376
308,370
317,373
317,378
320,376
320,376
311,370
311,376
317,373
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
